,Name,RA,Dec,Type,Date,Dist,Catalog
47,RGB J0710+591,07 10 26.4,+59 09 00,HBL,2009.02,z = 0.125,Default Catalog
48,S5 0716+714,07 21 53.4,+71 20 36,IBL,2008.04,z = 0.31,Default Catalog
49,PGC 2402248,07 33 26.7,+51 53 53.9,HBL,2018.04,z = 0.065,Default Catalog
50,PKS 0736+017,07 39 17.0,+01 36 12,FSRQ,2016.07,z = 0.18941,Default Catalog
51,1ES 0806+524,08 09 59,+52 19 00,HBL,2008.12,z = 0.138,Default Catalog
52,2HWC J0819+157,08 19 55.2,+15 47 24,UNID,2017.02,,Default Catalog
53,Vela X,08 35 00,-45 36 00,PWN,2006.03,0.29 kpc,Default Catalog
54,Vela Pulsar,08 35 20.7,-45 10 35.2,PSR,2014.06,0.29 kpc,Default Catalog
55,RBS 0723,08 47 12.9,+11 33 50,HBL,2014.01,z = 0.198,Default Catalog
56,RX J0852.0-4622,08 52 00,-46 22 00,Shell,2005.02,0.2 kpc,Default Catalog
57,OJ 287,08 54 49.1,+20 05 58.89,BL Lac (class unclear),2017.02,z = 0.3056,Newly Announced
58,M 82,09 55 52.7,+69 40 46,Starburst,2009.07,3900 kpc,Default Catalog
59,S4 0954+65,09 58 47.00,+65 33 55.00,Blazar,2015.02,,Default Catalog
60,1RXS J101015.9-311909,10 10 15.03,-31 18 18.4,HBL,2010.12,z = 0.142639,Default Catalog
61,1ES 1011+496,10 15 04.1,+49 26 01,HBL,2007.09,z = 0.212,Default Catalog
62,HESS J1018-589 B,10 16 31,-58 58 48,PWN,2010.08,,Default Catalog
63,HESS J1018-589 A,10 18 58,-58 56 43,Binary,2010.08,,Default Catalog
64,Westerlund 2,10 23 24,-57 47 24,Massive Star Cluster,2007.06,8 kpc,Default Catalog
